Timestamp CaptoGlove4305;Pinky Bending;Ring Bending;Middle Bending;Index Bending;Thumb Bending
13: 58: 46.676;0,9234;0,898492;0,902009;0,909084;0,642124
13: 58: 46.677;0,898492;0,905539;0,927014;0,912642;0,632168
13: 58: 46.695;0,898492;0,9198;0,945297;0,89499;0,64716
13: 58: 46.714;0,898492;0,9198;0,945297;0,89499;0,64716
13: 58: 46.733;0,9198;0,934284;0,945297;0,905539;0,632168
13: 58: 46.770;0,9198;0,934284;0,945297;0,905539;0,632168
13: 58: 46.771;0,934284;0,916214;0,9234;0,9234;0,64716
13: 58: 46.789;0,909084;0,912642;0,905539;0,898492;0,632168
13: 58: 46.807;0,909084;0,912642;0,905539;0,898492;0,632168
13: 58: 46.826;0,8915;0,916214;0,898492;0,888025;0,644637
13: 58: 46.864;0,8915;0,916214;0,898492;0,888025;0,644637
13: 58: 46.864;0,905539;0,9234;0,909084;0,912642;0,64716
13: 58: 46.901;0,9234;0,934284;0,930642;0,905539;0,632168
13: 58: 46.902;0,9234;0,934284;0,930642;0,905539;0,632168
13: 58: 46.920;0,902009;0,945297;0,945297;0,888025;0,649693
13: 58: 46.957;0,884563;0,95644;0,927014;0,8915;0,632168
13: 58: 46.958;0,884563;0,95644;0,927014;0,8915;0,632168
13: 58: 46.976;0,905539;0,963942;0,909084;0,912642;0,644637
13: 58: 46.995;0,9198;0,967714;0,905539;0,89499;0,64716
13: 58: 47.014;0,9198;0,967714;0,905539;0,89499;0,64716
13: 58: 47.032;0,89499;0,967714;0,927014;0,884563;0,64716
13: 58: 47.051;0,89499;0,967714;0,927014;0,884563;0,64716
13: 58: 47.089;0,870849;0,967714;0,945297;0,909084;0,649693
13: 58: 47.089;0,881114;0,967714;0,945297;0,905539;0,629704
13: 58: 47.107;0,881114;0,967714;0,945297;0,905539;0,629704
13: 58: 47.126;0,89499;0,963942;0,9198;0,888025;0,644637
13: 58: 47.145;0,8915;0,952711;0,905539;0,909084;0,627249
13: 58: 47.164;0,8915;0,952711;0,905539;0,909084;0,627249
13: 58: 47.182;0,864072;0,934284;0,9198;0,916214;0,642124
13: 58: 47.201;0,864072;0,934284;0,9198;0,916214;0,642124
13: 58: 47.220;0,847359;0,9234;0,937941;0,89499;0,627249
13: 58: 47.239;0,850676;0,912642;0,945297;0,89499;0,637127
13: 58: 47.295;0,850676;0,912642;0,945297;0,89499;0,637127
13: 58: 47.296;0,867454;0,902009;0,927014;0,916214;0,627249
13: 58: 47.314;0,874257;0,888025;0,89499;0,902009;0,627249
13: 58: 47.332;0,870849;0,881114;0,867454;0,888025;0,617524
13: 58: 47.351;0,870849;0,881114;0,867454;0,888025;0,617524
13: 58: 47.370;0,850676;0,884563;0,867454;0,905539;0,622368
13: 58: 47.389;0,799136;0,867454;0,860703;0,9234;0,598525
13: 58: 47.407;0,799136;0,867454;0,860703;0,9234;0,598525
13: 58: 47.426;0,768521;0,814897;0,808556;0,898492;0,60795
13: 58: 47.445;0,724785;0,802263;0,789826;0,89499;0,593867
13: 58: 47.464;0,724785;0,802263;0,789826;0,89499;0,593867
13: 58: 47.482;0,699747;0,759568;0,741972;0,912642;0,566672
13: 58: 47.501;0,699747;0,759568;0,741972;0,912642;0,566672
13: 58: 47.520;0,657351;0,707995;0,697019;0,905539;0,544963
13: 58: 47.539;0,593867;0,6651;0,683537;0,888025;0,532339
13: 58: 47.557;0,593867;0,6651;0,683537;0,888025;0,532339
13: 58: 47.576;0,542839;0,632168;0,67294;0,905539;0,507962
13: 58: 47.595;0,507962;0,622368;0,657351;0,9234;0,475325
13: 58: 47.614;0,507962;0,622368;0,657351;0,9234;0,475325
13: 58: 47.632;0,498137;0,622368;0,64716;0,898492;0,448275
13: 58: 47.651;0,498137;0,622368;0,64716;0,898492;0,448275
13: 58: 47.670;0,505981;0,629704;0,622368;0,8915;0,441325
13: 58: 47.689;0,50995;0,637127;0,600868;0,912642;0,419473
13: 58: 47.707;0,50995;0,637127;0,600868;0,912642;0,419473
13: 58: 47.726;0,49426;0,617524;0,589246;0,916214;0,377485
13: 58: 47.745;0,477186;0,598525;0,600868;0,89499;0,361608
13: 58: 47.764;0,477186;0,598525;0,600868;0,89499;0,361608
13: 58: 47.782;0,469788;0,589246;0,61033;0,909084;0,324144
13: 58: 47.801;0,469788;0,589246;0,61033;0,909084;0,324144
13: 58: 47.820;0,458905;0,582381;0,589246;0,9198;0,292839
13: 58: 47.839;0,453559;0,577849;0,582381;0,927014;0,288299
13: 58: 47.857;0,453559;0,577849;0,582381;0,927014;0,288299
13: 58: 47.876;0,469788;0,589246;0,58011;0,902009;0,2625
13: 58: 47.895;0,480928;0,612719;0,575596;0,89499;0,263527
13: 58: 47.914;0,480928;0,612719;0,575596;0,89499;0,263527
13: 58: 47.932;0,473472;0,624803;0,571117;0,916214;0,243723
13: 58: 47.951;0,473472;0,624803;0,571117;0,916214;0,243723
13: 58: 47.970;0,458905;0,603219;0,562262;0,898492;0,244677
13: 58: 47.989;0,448275;0,586949;0,547096;0,884563;0,241826
13: 58: 48.007;0,448275;0,586949;0,547096;0,884563;0,241826
13: 58: 48.026;0,455334;0,575596;0,524086;0,905539;0,228956
13: 58: 48.045;0,469788;0,589246;0,504009;0,916214;0,239009
13: 58: 48.064;0,469788;0,589246;0,504009;0,916214;0,239009
13: 58: 48.101;0,469788;0,60558;0,500086;0,89499;0,225407
13: 58: 48.120;0,453559;0,612719;0,488502;0,89499;0,236224
13: 58: 48.139;0,450029;0,593867;0,477186;0,912642;0,230752
13: 58: 48.158;0,450029;0,593867;0,477186;0,912642;0,230752
13: 58: 48.176;0,467956;0,577849;0,471626;0,89499;0,221912
13: 58: 48.195;0,479053;0,571117;0,466132;0,884563;0,235303
13: 58: 48.214;0,479053;0,571117;0,466132;0,884563;0,235303
13: 58: 48.233;0,462504;0,591552;0,466132;0,8915;0,223652
13: 58: 48.251;0,462504;0,591552;0,466132;0,8915;0,223652
13: 58: 48.270;0,460701;0,60558;0,467956;0,912642;0,225407
13: 58: 48.308;0,479053;0,591552;0,477186;0,89499;0,231655
13: 58: 48.326;0,479053;0,577849;0,490414;0,888025;0,222781
13: 58: 48.345;0,464314;0,582381;0,498137;0,909084;0,235303
13: 58: 48.364;0,464314;0,582381;0,498137;0,909084;0,235303
13: 58: 48.383;0,479053;0,600868;0,500086;0,898492;0,239944
13: 58: 48.401;0,479053;0,600868;0,500086;0,898492;0,239944
13: 58: 48.420;0,490414;0,600868;0,500086;0,884563;0,228064
