Timestamp;Thumb Bending;Index Bending;Middle Bending;Ring Bending;Pinky Bending
15: 44: 17.121;0.141176;0.968627;0.941176;0.458824;0.00392157
15: 44: 17.159;0.141176;0.968627;0.941176;0.458824;0.00392157
15: 44: 17.177;0.788235;0;0.415686;0.454902;0.831373
15: 44: 17.196;0.788235;0;0.415686;0.454902;0.831373
15: 44: 17.215;0.258824;0.980392;0.741176;0.411765;0.2
15: 44: 17.233;0.423529;0.0156863;0.415686;0.301961;0.882353
15: 44: 17.252;0.423529;0.0156863;0.415686;0.301961;0.882353
15: 44: 17.271;0.964706;0.0470588;0.145098;0.929412;0.54902
15: 44: 17.290;0.964706;0.0470588;0.145098;0.929412;0.54902
15: 44: 17.309;0.270588;0.0862745;0.0901961;0.301961;0.341176
15: 44: 17.327;0.937255;0.180392;0.372549;0.764706;0.619608
15: 44: 17.346;0.937255;0.180392;0.372549;0.764706;0.619608
15: 44: 17.365;0.0352941;0.239216;0.701961;0.207843;0.713726
15: 44: 17.384;0.917647;0.305882;0.207843;0.54902;0.341176
15: 44: 17.402;0.917647;0.305882;0.207843;0.54902;0.341176
15: 44: 17.421;0.788235;0.360784;0.882353;0.894118;0.0784314
15: 44: 17.440;0.788235;0.360784;0.882353;0.894118;0.0784314
15: 44: 17.459;0.541176;0.392157;0;0;0.0235294
15: 44: 17.477;0.254902;0.396078;0;0;0.364706
15: 44: 17.496;0.254902;0.396078;0;0;0.364706
15: 44: 17.515;0.254902;0.396078;0;0;0.156863
15: 44: 17.534;0.254902;0.396078;0;0;0.952941
15: 44: 17.552;0.254902;0.396078;0;0;0.952941
15: 44: 17.571;0.541176;0.392157;0;0;0.156863
15: 44: 17.590;0.541176;0.392157;0;0;0.156863
15: 44: 17.609;0.254902;0.396078;0;0;0.0156863
15: 44: 17.627;0.870588;0.4;0;0;0.290196
15: 44: 17.646;0.870588;0.4;0;0;0.290196
15: 44: 17.665;0.345098;0.411765;0;0;0.701961
15: 44: 17.684;0.0117647;0.435294;0;0;0.156863
15: 44: 17.702;0.0117647;0.435294;0;0;0.156863
15: 44: 17.721;0.917647;0.447059;0;0;0.701961
15: 44: 17.740;0.917647;0.447059;0;0;0.701961
15: 44: 17.758;0.905882;0.45098;0;0;0.564706
15: 44: 17.777;0.435294;0.447059;0;0;0.0156863
15: 44: 17.796;0.435294;0.447059;0;0;0.0156863
15: 44: 17.815;0.427451;0.427451;0;0;0.345098
15: 44: 17.834;0.541176;0.392157;0;0;0.505882
15: 44: 17.852;0.541176;0.392157;0;0;0.505882
15: 44: 17.871;0.54902;0.345098;0;0;0.364706
15: 44: 17.890;0.54902;0.345098;0;0;0.364706
15: 44: 17.909;0.894118;0.282353;0;0;0.952941
15: 44: 17.927;0.329412;0.227451;0;0;0.0235294
15: 44: 17.946;0.329412;0.227451;0;0;0.0235294
15: 44: 17.965;0.137255;0.156863;0;0;0.121569
15: 44: 17.984;0.105882;0.0980392;0;0;0.34902
15: 44: 18.002;0.105882;0.0980392;0;0;0.34902
15: 44: 18.021;0.109804;0.0745098;0;0;0.427451
